id,name,image,source
marvin-blyden,Marvin A. Blyden,http://www.legvi.org/images/Senators/SenMarvinBlyden.jpg,http://www.legvi.org/index.php/senator-marvin-blyden
clifford-f-graham,Clifford F. Graham,http://www.legvi.org/images/Senators/SenCliffordGraham.jpg,http://www.legvi.org/index.php/senator-clifford-f-graham
jean-a-forde,Jean A. Forde,http://www.legvi.org/images/Senators/SenJeanAFord.jpg,http://www.legvi.org/index.php/senator-jean-a-forde
novelle-e-francis-jr,Novelle E. Francis Jr. ,http://www.legvi.org/images/Senators/SenNovelleFrancis.jpg,http://www.legvi.org/index.php/senator-novelle-e-francis-jr
kenneth-l-gittens,Kenneth L. Gittens,http://www.legvi.org/images/Senators/SenKennethGittens.jpg,http://www.legvi.org/index.php/senator-kenneth-l-gittens
justin-harrigan-sr,Justin Harrigan Sr. ,http://www.legvi.org/images/Senators/SenJustinHarrigan.jpg,http://www.legvi.org/index.php/senator-justin-harrigan-sr
myron-d-jackson,Myron D. Jackson,http://www.legvi.org/images/Senators/SenMyronJackson.jpg,http://www.legvi.org/index.php/senator-myron-d-jackson
neville-a-james,Neville A. James ,http://www.legvi.org/images/Senators/SenNevilleJames.jpg,http://www.legvi.org/index.php/senator-neville-a-james
almando-rocky-liburd,"Almando ""Rocky"" Liburd",http://www.legvi.org/images/Senators/SenAlmandoLiburd.jpg,http://www.legvi.org/index.php/senator-almando-rocky-liburd
terrance-a-nelson,Terrence A. Nelson,http://www.legvi.org/images/Senators/SenTerrenceNelson.jpg,http://www.legvi.org/index.php/senator-terrance-a-nelson
nereida-rivera-o-reilly,Nereida Rivera O'Reilly,http://www.legvi.org/images/Senators/SenNereidaOReilly.jpg,http://www.legvi.org/index.php/senator-nereida-rivera-o-reilly
tregenza-a-roach-esq,"Tregenza A. Roach, Esq",http://www.legvi.org/images/Senators/SenTregenzaRoach.jpg,http://www.legvi.org/index.php/senator-tregenza-a-roach-esq
sammuel-sanes,Sammuel Sanes,http://www.legvi.org/images/Senators/SenSammuelSanes.jpg,http://www.legvi.org/index.php/senator-sammuel-sanes
kurt-a-vialet,Kurt A. Vialet,http://www.legvi.org/images/Senators/SenKurtVialet.jpg,http://www.legvi.org/index.php/senator-kurt-a-vialet
janette-millin-young,Janette Millin Young,http://www.legvi.org/images/Senators/SenJanetteYoung.jpg,http://www.legvi.org/index.php/senator-janette-millin-young
